																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	2	38,748																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	3	63,657																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	4	135,082																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	5	136,189																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	6	112,479																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	7	95,591																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	8	93,333																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	9	67,545																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	10	73,716																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	11	57,729																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1990	12	46,961																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	1	23,101																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	2	51,132																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	3	76,131																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	4	120,118																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	5	121,578																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	6	96,023																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	7	85,945																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	8	64,315																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	9	38,525																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	10	78,277																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	11	52,299																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1991	12	46,025																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	1	19,294																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	2	40,243																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	3	103,776																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	4	163,040																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	5	140,590																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	6	87,943																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	7	68,058																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	8	56,347																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	9	32,600																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	10	54,628																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	11	42,859																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1992	12	45,411																		
